index,station_name,east_m,north_m
71,C173,12.406765672440,-480.006096180161
72,C175,-197.760188583640,409.438342105429
73,C176,-354.237239666592,229.373587530435
74,C177,-115.435786982963,-414.298374139203
75,C179,2.863100759577,426.282862999763
76,C18,157.551775061989,73.140447959165
77,C180,369.902573650244,149.925205009745
78,C181,375.964557907974,73.468590952379
79,C183,264.528540781122,400.905354009921
80,C184,-241.785667605616,-405.768151914112
81,C185,-291.693440168668,-268.478920671115
82,C186,-374.811094645520,70.476408441639
83,C187,391.766515253106,-100.277870634490
84,C19,-42.568565727924,-69.467550044578
85,C190,460.466754797221,73.575945365994
86,C191,48.392833844151,-381.388483838941
87,C192,-337.619970073346,-311.584084033924
88,C193,-83.729330677798,451.324669570586
89,C194,-245.366133004761,-334.519505650147
90,C195,237.883741164815,367.552781648495
91,C197,10.418762220075,-361.443078272169
92,C198,432.328066795045,-65.596485751571
93,C199,-384.858695949749,271.590317259626
94,C2,-82.235448521677,119.236806025944
95,C20,37.122615312337,-18.568454398812
96,C200,285.693478800988,-70.799900468219
97,C201,-118.317576757833,-468.483385141712
98,C202,-83.922241712562,-366.097165410967
99,C203,-467.065166966284,3.767542339438
100,C204,95.911093775226,-463.939780659097
101,C205,-405.528501993490,17.288497926040
102,C206,105.355912848766,-375.737598908617
103,C207,171.773535262776,479.468584482838
104,C208,124.649575466846,495.757250948433
105,C21,167.193940818518,16.961314584434
106,C212,261.447484079862,444.230529353646
107,C213,-495.493887118678,-88.425111890306
108,C214,-414.969909890952,-90.638439443178
109,C216,-501.655365719508,-143.274299565925
110,C217,-533.070868020987,-111.695864651641
111,C219,363.922948605597,-392.031510251903
112,C22,194.830339501293,-56.392917555195
113,C222,286.183561712964,-392.804681865324
114,C223,358.556108207997,-344.273068993823
115,C224,275.944867655152,-350.254545067198
116,C23,88.839852060315,-123.993760171267
117,C24,-59.569351848158,158.019193084072
118,C25,125.342730589832,162.894509900856
119,C26,-94.364686104632,184.058404021720
120,C27,3.161580657753,173.531836178366
121,C28,29.306452780457,-183.930300547583
122,C29,-52.609447303806,-121.435286675364
123,C3,70.364643232771,-47.638166879957
124,C30,75.336762403988,148.600804760830
125,C31,112.515336818776,-84.980122915994
126,C32,68.875559803239,227.716327070953
127,C33,-67.023360826265,-170.744709106372
128,C34,202.784963909757,70.369326456099
129,C35,-87.006389685658,-74.786535954581
130,C36,-143.572001105589,-119.662794459344
131,C37,73.546150148490,10.646133139242
132,C38,-136.415640032323,-11.737574265266
133,C39,74.638834463804,-187.698068961465
134,C4,-133.730219438343,-55.838367560999
135,C40,-220.223086247731,76.795604544701
136,C41,-102.415855972517,14.967374265362
137,C42,213.521566368612,29.259935924681
138,C43,-210.776113550540,-66.255167330272
139,C44,67.581780598160,53.417414103566
